object_id,satellite_name,launch_year,launch_mass_kg,dry_mass_kg,operator,country,purpose,orbit_type,perigee_km,apogee_km,inclination_deg,bus_family,mass_source,mass_confidence,dominant_material_1,dominant_material_fraction_1,dominant_material_2,dominant_material_fraction_2,dominant_material_3,dominant_material_fraction_3
25477,ORBCOMM FM-23 (ORBCOMM C3),1998,45.0,,USA,USA,Communications,LEO,788,794,45.0,Orbital Sciences Corp.,UCS Database,0.9,,,,,,
25475,ORBCOMM FM-21 (ORBCOMM C1),1998,45.0,32.4,USA,USA,Communications,LEO,810,822,45.0,Orbital Sciences Corp.,UCS Database,0.9,Solar Cell Silicon,0.551,Magnesium Alloy AZ80,0.251,Phenolic Composite,0.198
25416,ORBCOMM FM-20 (ORBCOMM B8),1998,45.0,32.4,USA,USA,Communications,LEO,791,792,45.0,Orbital Sciences Corp.,UCS Database,0.9,Borosilicate Glass,0.583,Phenolic Composite,0.226,Solder Alloy SAC305,0.191
25415,ORBCOMM FM-19 (ORBCOMM B7),1998,45.0,32.4,USA,USA,Communications,LEO,788,795,45.0,Orbital Sciences Corp.,UCS Database,0.9,Silicone Elastomer,0.578,Epoxy Composite,0.205,Fused Silica,0.217
25414,ORBCOMM FM-18 (ORBCOMM B6),1998,45.0,32.4,USA,USA,Communications,LEO,787,796,45.0,Orbital Sciences Corp.,UCS Database,0.9,Titanium Alloy Ti-6Al-4V,0.461,Lithium-Ion Battery Cells,0.295,Inconel 625,0.244
25504,SCD-2 (Satélite de Coleta de Dados),1998,110.0,79.2,Brazil,NR,Earth Observation,LEO,735,760,25.0,Instituto Nacional de Pesquisas Espaciais (INPE),UCS Database,0.9,CFRP Structural Tubes,0.401,Lithium-Ion Battery Cells,0.22,Beryllium-Copper Alloy,0.379
25985,ORBCOMM FM-35 (ORBCOMM D7),1999,45.0,32.4,USA,USA,Communications,LEO,788,795,45.0,Orbital Sciences Corp.,UCS Database,0.9,Carbon Fiber Reinforced Polymer,0.541,Beryllium-Copper Alloy,0.347,Aluminum Alloy 2024,0.112
25982,ORBCOMM FM-32 (ORBCOMM D4),1999,45.0,32.4,USA,USA,Communications,LEO,786,796,45.0,Orbital Sciences Corp.,UCS Database,0.9,Solar Cell Silicon,0.541,CFRP Structural Tubes,0.285,Niobium Alloy,0.174
25981,ORBCOMM FM-31 (ORBCOMM D3),1999,45.0,,USA,USA,Communications,LEO,788,795,45.0,Orbital Sciences Corp.,UCS Database,0.9,,,,,,
25757,DLR Tubsat ,1999,45.0,32.4,Germany,NR,Earth Science,LEO,712,732,98.6,"Institute of Aeronautics and Astronautics, Technical University of Berlin",UCS Database,0.9,Nickel-Hydrogen Battery Cells,0.459,Aluminum Alloy 7075,0.21,PEEK Polymer,0.331
25652,Globalstar M037 (Globalstar 16),1999,450.0,315.0,USA,USA,Communications,Unknown,"1,411","1,417",52.0,Space Systems/Loral,UCS Database,0.9,Molybdenum Structure,0.536,Stainless Steel 304,0.256,Kapton Polyimide,0.208
25984,ORBCOMM FM-36 (ORBCOMM D8),1999,45.0,32.4,USA,USA,Communications,LEO,788,795,45.0,Orbital Sciences Corp.,UCS Database,0.9,Solder Alloy Sn-Pb,0.588,PCB FR-4 Substrate,0.333,Inconel 625,0.079
25980,ORBCOMM FM-30 (ORBCOMM D2),1999,45.0,32.4,USA,USA,Communications,LEO,788,796,45.0,Orbital Sciences Corp.,UCS Database,0.9,Silicone Elastomer,0.431,Stainless Steel 316,0.22,Kevlar Composite,0.349
27056,Strela 3 (Cosmos 2385),2001,225.0,157.5,Russia,Russia,Communications,Unknown,"1,417","1,425",82.5,NPO/PM - Scientific Research Institute for Precision Instruments (NII-TP),UCS Database,0.9,Molybdenum Structure,0.473,Polyethylene (HDPE),0.244,Titanium Alloy Ti-6Al-4V,0.283
26702,Odin ,2001,250.0,,Sweden,Sweden,Earth Observation,LEO,569,573,97.6,Swedish Space Corporation/Canadian Space Agency/National Technology Agency of Finland/Centre National d'Etudes Spatiales,UCS Database,0.9,,,,,,
26959,Bird 2 (Bispectral InfraRed Detector 2),2001,92.0,66.24,Germany,Germany,Earth Observation/Technology Development,LEO,500,521,97.9,Deutsches Zentrum für Luft- und Raumfahrt,UCS Database,0.9,PEEK Polymer,0.521,Molybdenum Structure,0.335,Copper Wiring,0.144
27004,Maroc Tubsat ,2001,47.0,32.9,Morocco/Germany,NR,Technology Development,Unknown,984,"1,014",99.2,CRTS Morocco/Institut für Luft-und Raumfahrttechnik,UCS Database,0.9,Ceramic Thermal Tiles,0.503,CFRP Structural Tubes,0.313,Nomex Honeycomb,0.184
27057,Strela 3 (Cosmos 2386),2001,225.0,157.5,Russia,Russia,Communications,Unknown,"1,415","1,419",82.5,NPO/PM - Scientific Research Institute for Precision Instruments (NII-TP),UCS Database,0.9,Aluminum Alloy 7075,0.589,Copper Wiring,0.277,Fused Silica,0.134
26998,TIMED (Thermosphere • Ionosphere • Mesosphere • Energetics and Dynamics),2001,587.0,422.64,USA,USA,Space Science,LEO,612,613,74.1,"Applied Physics Laboratory, Johns Hopkins",UCS Database,0.9,Aluminum Honeycomb,0.517,Quartz Glass,0.206,Borosilicate Glass,0.277
26958,Proba 1 (Project for On-Board Autonomy),2001,100.0,72.0,ESA,ESA,Technology Demonstration,LEO,553,676,97.9,Verhaert Design and Development NV (leading a European consortium),UCS Database,0.9,Carbon Fiber Reinforced Polymer,0.591,CFRP Honeycomb,0.295,Inconel 718,0.114
27434,Ofeq 5 ,2002,300.0,216.0,Israel,NR,Earth Observation,LEO,367,764,143.4,"Israel Aircraft Industries (IAI), Missiles and Space Group",UCS Database,0.9,Magnesium Alloy AZ80,0.51,Magnesium Alloy AZ31,0.273,Niobium Alloy,0.217
27607,"Saudisat-1C (Oscar 50, SO 50)",2002,10.0,7.2,Saudi Arabia,Saudi Arabia,Communications,LEO,603,702,64.6,"Space Research Institute, King Abdulaziz City for Science and Technology",UCS Database,0.9,Beryllium-Copper Alloy,0.433,Nickel-Hydrogen Battery Cells,0.271,Molybdenum Structure,0.296
27464,Strela 3 (Cosmos 2390),2002,225.0,157.5,Russia,Russia,Communications,Unknown,"1,468","1,506",8.5,NPO/PM - Scientific Research Institute for Precision Instruments (NII-TP),UCS Database,0.9,Aluminum Alloy 2024,0.479,Solar Cell Silicon,0.21,Beryllium Structure,0.311
27465,Strela 3 (Cosmos 2391),2002,225.0,157.5,Russia,Russia,Communications,Unknown,"1,466","1,506",82.5,NPO/PM - Scientific Research Institute for Precision Instruments (NII-TP),UCS Database,0.9,Polyethylene (HDPE),0.48,Fused Silica,0.231,Solar Cell Silicon,0.289
27869,Strela 3 (Cosmos 2401),2003,225.0,,Russia,Russia,Communications,Unknown,"1,465","1,502",82.5,NPO/PM - Scientific Research Institute for Precision Instruments (NII-TP),UCS Database,0.9,,,,,,
27843,MOST (Microvariability & Oscillations of STars),2003,53.0,38.16,Canada,Canada,Space Science,LEO,817,832,98.7,Dynacon Inc./University of Toronto Institute for Aerospace Studies/University of British Columbia,UCS Database,0.9,Gold Plating,0.495,Magnesium Alloy AZ31,0.244,Stainless Steel 316,0.261
27868,Strela 3 (Cosmos 2400),2003,225.0,,Russia,Russia,Communications,Unknown,"1,467","1,503",82.5,NPO/PM - Scientific Research Institute for Precision Instruments (NII-TP),UCS Database,0.9,,,,,,
27939,Mozhayets 4 (RS-22),2003,64.0,46.08,Russia,Russia,Technology Development,LEO,669,690,97.8,Mozhaiskiy Space Engineering Academy,UCS Database,0.9,Tungsten Masses,0.547,Polyethylene (HDPE),0.212,Epoxy Composite,0.241
27640,Coriolis (Windsat),2003,817.0,588.24,USA,USA,Earth Observation,LEO,820,841,98.8,"Spectrum Astro, Inc.",UCS Database,0.9,Multi-Layer Insulation Foil,0.573,Lithium-Ion Battery Cells,0.307,Phenolic Composite,0.12
28058,"Chuangxin 1-1 (Innovation 1-1, Chuang Xin 1, CX-1-1)",2003,100.0,72.0,China,China,Communications,LEO,729,748,98.5,Chinese Academy of Sciences,UCS Database,0.9,Borosilicate Glass,0.511,Polypropylene,0.21,Niobium Alloy,0.279
27858,Scisat-1 (Atmospheric Chemistry Experiment),2003,150.0,108.0,Canada,Canada,Space Science,LEO,638,649,73.9,Bristol Aerospace Ltd.,UCS Database,0.9,Magnesium Alloy AZ80,0.568,Polyethylene (HDPE),0.316,Solder Alloy Sn-Pb,0.116
27651,SORCE (SOlar Radiation and Climate Experiment),2003,315.0,226.8,USA,USA,Space Science,LEO,600,633,40.0,Orbital Sciences Corp.,UCS Database,0.9,Polypropylene,0.579,Kevlar Composite,0.347,Polyethylene (HDPE),0.074
28493,Nanosat-1,2004,20.0,14.4,Spain,Spain,Communications,LEO,654,659,98.4,Instituto Nacional de Técnia Aeroespacial (INTA),UCS Database,0.9,Epoxy Composite,0.593,Quartz Glass,0.23,Titanium Alloy Ti-6Al-4V,0.177
28420,Strela 3 (Cosmos 2409),2004,225.0,,Russia,Russia,Communications,Unknown,"1,474","1,495",82.5,NPO/PM - Scientific Research Institute for Precision Instruments (NII-TP),UCS Database,0.9,,,,,,
28369,Saudicomsat-1,2004,12.0,8.64,Saudi Arabia,Saudi Arabia,Technology Development,LEO,697,747,98.0,"Space Research Institute, King Abdulaziz City for Science and Technology",UCS Database,0.9,Silicon Semiconductor,0.425,GaAs Semiconductor,0.288,Magnesium Alloy AZ80,0.287
28220,"Shiyan 1 (SY 1, Tansuo 1, Experimental Satellite 1)",2004,204.0,,China,China,Earth Observation,LEO,586,601,97.5,Chinese Research Institute of Space Technology/Changchun Photomechanical Institute (CAS),UCS Database,0.9,,,,,,
28370,Saudicomsat-2 ,2004,12.0,8.64,Saudi Arabia,Saudi Arabia,Technology Development,LEO,696,780,98.1,"Space Research Institute, King Abdulaziz City for Science and Technology",UCS Database,0.9,Epoxy Composite,0.522,Beryllium-Copper Alloy,0.309,Nomex Honeycomb,0.169
28366,AprizeSat 2 (LatinSat-D),2004,12.0,8.64,USA/Argentina,USA,Communications/Technology Development,LEO,694,850,98.2,Aprize Satellite ,UCS Database,0.9,Titanium Alloy Ti-5Al-2.5Sn,0.544,Polypropylene,0.267,Magnesium Alloy AZ80,0.189
28371,Saudisat-2 ,2004,35.0,25.2,Saudi Arabia,Saudi Arabia,Earth Observation,LEO,696,734,97.9,Riyadh Space Research Institute,UCS Database,0.9,GaAs Semiconductor,0.585,Phenolic Composite,0.212,Polyethylene (HDPE),0.203
28419,Strela 3 (Cosmos 2408),2004,225.0,,Russia,Russia,Communications,Unknown,"1,471","1,495",82.5,NPO/PM - Scientific Research Institute for Precision Instruments (NII-TP),UCS Database,0.9,,,,,,
28372,AprizeSat 1 (LatinSat-C),2004,12.0,,Argentina,USA,Communications/Technology Development,LEO,696,764,98.0,Aprize Satellite ,UCS Database,0.9,,,,,,
28810,Reimei (Innovative Technology Demonstration Experiment Satellite - INDEX),2005,70.0,50.4,Japan,Japan,Technology Development,LEO,595,638,98.0,Institute of Space and Astronautical Science (ISAS),UCS Database,0.9,Solder Alloy SAC305,0.426,Aluminum Alloy 6061,0.285,Rhenium Alloy,0.289
28908,"Rodnik (Cosmos 2416, Strela 3M)",2005,225.0,157.5,Russia,Russia,Communications,Unknown,"1,436","1,448",82.5,NPO-PM,UCS Database,0.9,Indium Phosphide (InP),0.573,Tungsten Masses,0.252,Solder Alloy SAC305,0.175
28890,"BeijingGalaxy-1 (Beijing 1 [Tsinghua], Tsinghau-2, China DMC+4)",2005,166.0,119.52,China,China,Earth Observation,LEO,681,703,97.9,Tsinghua University/University of Surrey,UCS Database,0.9,Phenolic Composite,0.402,Molybdenum Structure,0.285,Fused Silica,0.313
29048,"COSMIC-B (Formosat-3B, Constellation Observing System for Meteorology, Ionosphere and Climate)",2006,70.0,50.4,Taiwan,NR,Earth Observation,LEO,769,831,72.0,Orbital Sciences Corp.,UCS Database,0.9,Gold Plating,0.463,Glass Fiber Reinforced Polymer,0.209,Teflon (PTFE),0.328
29268,"Kompsat-2 (Arirang 2, Korean planned Multipurpose Satellite-2)",2006,800.0,576.0,South Korea,South Korea,Earth Observation/Technology Development,LEO,676,698,98.2,Korea Aerospace Research Institute (KARI)/ EADS Astrium,UCS Database,0.9,Silver Coating,0.598,Inconel 718,0.222,CFRP Structural Tubes,0.18
29107,Cloudsat,2006,848.0,610.56,USA,USA,Earth Observation,LEO,702,703,98.2,NASA Jet Propulsion Laboratory,UCS Database,0.9,Niobium Alloy,0.558,Nickel-Hydrogen Battery Cells,0.23,Aluminum Honeycomb,0.212
29050,"COSMIC-D (Formosat-3D, Constellation Observing System for Meteorology, Ionosphere and Climate)",2006,70.0,50.4,Taiwan,NR,Earth Observation,LEO,669,746,72.0,Orbital Sciences Corp.,UCS Database,0.9,Epoxy Composite,0.584,Solar Cell Silicon,0.33,Stainless Steel 316,0.086
29051,"COSMIC-E (Formosat-3E, Constellation Observing System for Meteorology, Ionosphere and Climate)",2006,70.0,50.4,Taiwan,NR,Earth Observation,LEO,751,849,72.0,Orbital Sciences Corp.,UCS Database,0.9,Teflon (PTFE),0.531,Aluminum Alloy 6061,0.339,Quartz Glass,0.13
29658,SAR-Lupe 1,2006,770.0,,Germany,Germany,Earth Observation,LEO,468,505,98.2,OHB System-AG,UCS Database,0.9,,,,,,
29052,"COSMIC-F (Formosat-3F, Constellation Observing System for Meteorology, Ionosphere and Climate)",2006,70.0,50.4,Taiwan,NR,Earth Observation,LEO,772,828,72.0,Orbital Sciences Corp.,UCS Database,0.9,Aluminum Honeycomb,0.506,Quartz Glass,0.312,Inconel 625,0.182
29047,"COSMIC-A (Formosat-3A, Constellation Observing System for Meteorology, Ionosphere and Climate)",2006,70.0,50.4,Taiwan,NR,Earth Observation,LEO,764,836,72.0,Orbital Sciences Corp.,UCS Database,0.9,Tungsten Masses,0.59,Teflon (PTFE),0.348,Carbon Fiber Reinforced Polymer,0.062
29479,Hinode (Solar B),2006,700.0,504.0,Multinational,Japan,Space Science,LEO,670,696,98.1,"Institute of Space and Aeronautical Science, University of Tokyo/NASA",UCS Database,0.9,Magnesium Alloy AZ31,0.578,Solar Cell Silicon,0.265,Ceramic Thermal Tiles,0.157
29079,EROS B1 (Earth Resources Observation Satellite),2006,350.0,252.0,Israel,NR,Earth Observation,LEO,508,514,97.4,Israel Aircraft Industries (IAI),UCS Database,0.9,Gold Plating,0.5,Gallium Nitride (GaN),0.234,Polypropylene,0.266
29108,Calipso (Cloud-Aerosol Lidar and Infrared Pathfinder Satellite Observation),2006,587.0,422.64,France,France,Earth Science,LEO,702,703,98.2,Alcatel Alenia Space,UCS Database,0.9,Gallium Nitride (GaN),0.589,Stainless Steel 304,0.207,Nomex Honeycomb,0.204
31601,Ofeq 7,2007,300.0,,Israel,NR,Earth Observation,LEO,340,576,141.76,Israel Aerospace Industries (IAI),UCS Database,0.9,,,,,,
31573,Globalstar M069 (Globalstar 69),2007,450.0,315.0,USA,USA,Communications,Unknown,"1,411","1,416",52.0,Space Systems/Loral/Alenia Aerospazio,UCS Database,0.9,Kapton Polyimide,0.506,Solder Alloy SAC305,0.277,Silicon Semiconductor,0.217
32265,Globalstar M066 (Globalstar 66),2007,450.0,315.0,USA,USA,Communications,Unknown,"1,412","1,415",52.0,Space Systems/Loral/Alenia Aerospazio,UCS Database,0.9,Carbon Fiber Reinforced Polymer,0.449,Silicon Semiconductor,0.281,Aluminum Alloy 7075,0.27
30798,THEMIS E (Time History of Events and Macroscale Interactions during Substorms) ,2007,126.0,88.2,Multinational,USA,Space Science,Unknown,474,"87,526",15.7,Swales Aerospace,UCS Database,0.9,Solar Cell Silicon,0.59,Magnesium Alloy AZ80,0.334,Epoxy Composite,0.076
29710,"CartoSat 2 (IRS P7, CartoSat 2AT)",2007,680.0,489.6,India,India,Earth Observation,LEO,632,635,97.0,Indian Space Research Organization (ISRO),UCS Database,0.9,Magnesium Alloy AZ31,0.447,CFRP Structural Tubes,0.202,Glass Fiber Reinforced Polymer,0.351
30797,THEMIS D (Time History of Events and Macroscale Interactions during Substorms) ,2007,126.0,,Multinational,USA,Space Science,Unknown,467,"87,260",15.7,Swales Aerospace,UCS Database,0.9,,,,,,
30580,THEMIS A (Time History of Events and Macroscale Interactions during Substorms) ,2007,126.0,,Multinational,USA,Space Science,Unknown,461,"87,304",15.7,Swales Aerospace,UCS Database,0.9,,,,,,
32263,Globalstar M067 (Globalstar 67),2007,450.0,315.0,USA,USA,Communications,Unknown,"1,413","1,414",52.0,Space Systems/Loral/Alenia Aerospazio,UCS Database,0.9,Polypropylene,0.408,Fused Silica,0.227,Aluminum Alloy 2024,0.365
30776,Falconsat-3,2007,46.0,33.12,USA,USA,Technology Development,LEO,538,540,35.4,US Air Force Academy,UCS Database,0.9,Beryllium-Copper Alloy,0.457,Nickel-Hydrogen Battery Cells,0.218,Fused Silica,0.325
31576,Globalstar M071 (Globalstar 71),2007,450.0,315.0,USA,USA,Communications,Unknown,"1,412","1,415",52.0,Space Systems/Loral/Alenia Aerospazio,UCS Database,0.9,Quartz Glass,0.54,Aluminum Alloy 6061,0.318,Beryllium-Copper Alloy,0.142
32264,Globalstar M070 (Globalstar 70),2007,450.0,315.0,USA,USA,Communications,Unknown,"1,412","1,415",52.0,Space Systems/Loral/Alenia Aerospazio,UCS Database,0.9,Multi-Layer Insulation Foil,0.546,Beryllium Structure,0.285,Molybdenum Structure,0.169
31571,Globalstar M065 (Globalstar 65),2007,450.0,315.0,USA,USA,Communications,Unknown,"1,411","1,416",52.0,Space Systems/Loral/Alenia Aerospazio,UCS Database,0.9,Copper Wiring,0.599,Solder Alloy Sn-Pb,0.237,Silicone Elastomer,0.164
31574,Globalstar M072 (Globalstar 72),2007,450.0,315.0,USA,USA,Communications,Unknown,"1,412","1,416",52.0,Space Systems/Loral/Alenia Aerospazio,UCS Database,0.9,Rhenium Alloy,0.427,Fused Silica,0.233,Magnesium Alloy AZ31,0.34
31127,Saudicomsat-4,2007,12.0,8.64,Saudi Arabia,Saudi Arabia,Communications,LEO,649,746,97.8,"Space Research Institute, King Abdulaziz City for Science and Technology",UCS Database,0.9,Borosilicate Glass,0.442,Polyethylene (HDPE),0.284,Nickel-Hydrogen Battery Cells,0.274
31125,Saudicomsat-3,2007,12.0,8.64,Saudi Arabia,Saudi Arabia,Communications,LEO,652,714,97.8,"Space Research Institute, King Abdulaziz City for Science and Technology",UCS Database,0.9,Silicon Semiconductor,0.479,Borosilicate Glass,0.226,Aluminum Alloy 6061,0.295
31124,Saudicomsat-5,2007,12.0,,Saudi Arabia,Saudi Arabia,Communications,LEO,651,725,97.8,"Space Research Institute, King Abdulaziz City for Science and Technology",UCS Database,0.9,,,,,,
31121,Saudicomsat-6,2007,12.0,8.64,Saudi Arabia,Saudi Arabia,Communications,LEO,648,758,97.8,"Space Research Institute, King Abdulaziz City for Science and Technology",UCS Database,0.9,Quartz Glass,0.413,PCB FR-4 Substrate,0.207,Carbon Fiber Reinforced Polymer,0.38
32283,SAR-Lupe 3,2007,770.0,554.4,Germany,Germany,Earth Observation,LEO,473,496,98.17,OHB-System AG ,UCS Database,0.9,Molybdenum Structure,0.519,Nickel-Hydrogen Battery Cells,0.298,Beryllium-Copper Alloy,0.183
31797,SAR-Lupe 2,2007,770.0,,Germany,Germany,Earth Observation,LEO,470,503,98.19,OHB-System AG ,UCS Database,0.9,,,,,,
29709,LAPAN-Tubsat (LAPAN A1),2007,60.0,43.2,Indonesia,Indonesia,Earth Observation/Technology Development,LEO,617,637,97.7,Technical University Berlin,UCS Database,0.9,Phenolic Composite,0.405,Nickel-Hydrogen Battery Cells,0.278,Titanium Alloy Ti-5Al-2.5Sn,0.317
31119,Saudicomsat-7,2007,12.0,8.64,Saudi Arabia,Saudi Arabia,Communications,LEO,650,736,97.8,"Space Research Institute, King Abdulaziz City for Science and Technology",UCS Database,0.9,Magnesium Alloy AZ80,0.405,Rhenium Alloy,0.237,Gold Plating,0.358
31118,Saudisat-3 ,2007,200.0,144.0,Saudi Arabia,Saudi Arabia,Earth Observation,LEO,656,677,97.8,King Abdulaziz City for Science and Technology,UCS Database,0.9,Rhenium Alloy,0.444,Molybdenum Structure,0.261,CFRP Structural Tubes,0.295
31304,AIM (Aeronomy of Ice in Mesosphere),2007,215.0,154.8,USA,USA,Earth Observation,LEO,544,552,97.9,Orbital Sciences Corp.,UCS Database,0.9,Kevlar Composite,0.538,Solder Alloy SAC305,0.213,Rhenium Alloy,0.249
33396,THEOS (Thailand Earth Observation System),2008,750.0,540.0,Thailand,Thailand,Earth Observation,LEO,824,826,98.7,EADS Astrium,UCS Database,0.9,Solder Alloy Sn-Pb,0.558,Kevlar Composite,0.22,Multi-Layer Insulation Foil,0.222
33401,Interstellar Boundary EXplorer (IBEX),2008,462.0,323.4,USA,USA,Space Science,Unknown,"62,200","2,68,679",15.2,Orbital Sciences Corp.,UCS Database,0.9,Nomex Honeycomb,0.413,Silicone Elastomer,0.231,Glass Fiber Reinforced Polymer,0.356
32790,CanX-2 (Canadian Advanced Nanospace experiment),2008,7.0,5.04,Canada,Canada,Technology Development,LEO,609,629,97.8,University of Toronto Institute for Aerospace Studies,UCS Database,0.9,Magnesium Alloy AZ31,0.545,Indium Phosphide (InP),0.308,Teflon (PTFE),0.147
32783,CartoSat 2A,2008,680.0,489.6,India,India,Earth Observation,LEO,624,643,97.9,Indian Space Research Organization (ISRO),UCS Database,0.9,CFRP Honeycomb,0.54,Polypropylene,0.255,Copper Wiring,0.205
32791,SEEDS 2,2008,3.0,2.16,Japan,Japan,Technology Development,LEO,607,627,97.8,Nihon University,UCS Database,0.9,Teflon (PTFE),0.459,CFRP Honeycomb,0.213,Fused Silica,0.328
33433,"Shiyan 3 (SY3, Experimental Satellite 3)",2008,300.0,216.0,China,China,Earth Observation,LEO,785,803,98.5,Harbin Institute of Technology,UCS Database,0.9,Nomex Honeycomb,0.507,Beryllium-Copper Alloy,0.247,CFRP Honeycomb,0.246
33434,Chuangxin 1-2 (Innovation 1-2),2008,101.0,72.72,China,China,Earth Observation,LEO,785,804,98.5,Chinese Academy of Sciences,UCS Database,0.9,Glass Fiber Reinforced Polymer,0.556,Phenolic Composite,0.305,Silicone Elastomer,0.139
33321,HJ-1B (Huan Jing 1B),2008,470.0,338.4,China,China,Earth Observation,LEO,621,673,97.8,China Academy of Space Technology (CAST)/DFH Satellite Co. Ltd.,UCS Database,0.9,Titanium Alloy Ti-5Al-2.5Sn,0.45,Beryllium-Copper Alloy,0.317,Niobium Alloy,0.233
32476,"TecSAR (Ofeq 8, Polaris)",2008,300.0,216.0,Israel,NR,Earth Observation,LEO,405,580,41.03,Israel Aerospace Industries (IAI),UCS Database,0.9,Polyethylene (HDPE),0.593,Nomex Honeycomb,0.318,Magnesium Alloy AZ31,0.089
32789,Delfi-C3 (DO-64),2008,7.0,,Netherlands,NR,Technology Development,LEO,598,616,97.8,Technical University of Delft,UCS Database,0.9,,,,,,
33320,HJ-1A (Huan Jing 1A),2008,470.0,338.4,China,China,Earth Observation,LEO,628,665,97.8,China Academy of Space Technology (CAST)/DFH Satellite Co. Ltd.,UCS Database,0.9,Polyethylene (HDPE),0.496,Borosilicate Glass,0.315,Aluminum Alloy 6061,0.189
33244,SAR-Lupe 5,2008,770.0,554.4,Germany,Germany,Earth Observation,LEO,474,502,98.16,OHB-System AG ,UCS Database,0.9,Inconel 625,0.498,GaAs Semiconductor,0.327,Kevlar Composite,0.175
32750,SAR-Lupe 4,2008,770.0,,Germany,Germany,Earth Observation,LEO,448,486,98.16,OHB-System AG ,UCS Database,0.9,,,,,,
